BJFHD20190605000253,35.0,2.7622,140.0,北京市西城区骡马市大街16号太平金融中心 8层,39.89491811158109,116.38725998475688,京E95505
BJFHD20190606000124,195.0,18.387050000000002,711.75,北京市顺义区南法信西杜兰村零六三乡道北京市植物保护站科技展示基地南30米（紫光北京顺义库）,40.151747109494345,116.60130055823012,京PM1868
BJFHD20190606000125,10.0,1.1667,42.5,北京昌平区六环以内北京市昌平区北七家镇未来科技城南区国家电投集团科学技术研究院A座7层/姚静芳,40.13478371436621,116.48370664566622,京FBX827
BJFHD20190606000450,5.0,0.2424,33.25,北京市昌平区北七家镇未来科技城滨河大道18号A808//华书革,40.12561375127377,116.4828995181655,京FBX827
BJFHD20190606000819,2.0,0.14582,6.9,北京北京市朝阳区首都机场T2航站楼,40.085839602846995,116.60106814144214,京PBA810
BJPSD20190606000083,10.0,0.6798,79.4,北京市省  北京市  海淀区    万泉河桥南56-4号,39.9905576602698,116.30724261926876,京EAQ152
BJPSD20190607000001,40.0,1.006,180.8,北京市海淀区中关村E世界卸货平台,39.990230402599686,116.31633436304712,京EAY728
CDFHD20190604000324,15.0,0.3702,64.2,北京市朝阳区红军营南路天朗园汇中广场C座2层,40.03860008419732,116.42060104291245,京EM0606
CDFHD20190605000257,1.0,0.01237,2.85,北京市海淀区蓝靛厂金源时代购物中心B区2#B座1707室,39.96600827340164,116.29545603621477,京Q7S2E7
CDFHD20190606000450,5.0,0.1234,21.4,北京市海淀区中关村南大街46号,39.992545467676635,116.32655348652862,京ER0336
CDFHD20190606000566,4.0,0.30144,34.64,北京市海淀区上地信息路11号彩虹大厦北楼西202室,40.04523713314218,116.31461326628326,京LBA621
CDFHD20190606001099,100.0,13.138200000000001,650.0,北京市海淀区万柳东路25号万泉商务花园B1 库房 蒋敬山,39.97494840142967,116.30757463568017,京Q9V0D3
CDFHD20190606001165,6.0,0.27498,39.0,北京市海淀区上地信息路11号彩虹大厦1幢负二层001室/李仁杰,40.04517125392472,116.31438387229329,京LBA621
HFFHD20190604000359,2.0,6.019399999999999,4.1,北京市海淀区西四环北路金雅园北区1号楼负一层,39.94931382812822,116.28256066137487,京N0AB48
HFFHD20190604000369,4.0,0.04552,8.24,北京市海淀区大钟寺13号华杰大厦A座A308////////林雪梅,39.97035631279564,116.34834224599535,京ER0336
HFFHD20190604000378,3.0,3.2310099999999995,6.03,北京市海淀区上地七街国际创业园东区2号院2号楼17A,40.052647871877966,116.31269990339446,京YK8178
HFFHD20190605000095,5.0,0.10174,10.5,北京市海淀区上地三街9号嘉华大厦A座B2-10A/张冬梅,40.04208874570346,116.31480239283042,京YF7175
HFFHD20190605000117,1.0,2.8384299999999993,4.86,NRTDOA-北京市通州区马驹桥镇兴贸一街十四号京东售后-周宏杰,39.76987001504703,116.57587386895655,京AKV539
HFFHD20190605000425,1.0,1.1922799999999993,4.54,DOA-北京市朝阳区金盏乡黎各庄村沙窝北路256号，朝鑫东方物流园,39.981488433968444,116.64059900042238,京AKV539
HFFHD20190606000102,4.0,0.4214700000000001,6.531000000000001,直营-北京市海淀区远大路1号金源燕莎购物中心4层4022,39.9646083588438,116.29566255665151,京Q7S2E7
HFFHD20190606000234,1.0,0.31148,3.97,北京市朝阳区望京东路6号施耐德电气大厦,40.0129970978789,116.49504117982828,京PCT771
HYFHD20190531004441,40.0,2.3464,387.6,北京市 北京市东城区建国门街道办事处建国门内乙18号英大国际大厦//刘畅,39.91330253877807,116.43490206663131,京PL1870
HYFHD20190604001114,2.0,0.08925,14.09,北京市朝阳区安立路101号名人大厦//雷颖,40.00203686354574,116.4128388748313,京EM0606
HYFHD20190604001169,1.0,0.05024,7.6,北京市昌平区北七家镇燕丹3号,40.09585543480046,116.44570922089964,京FBX827
HYFHD20190604001177,6.0,0.30144,46.2,北京市海淀区花园路13号,39.97893655489099,116.37171220282072,京ER0336
HYFHD20190604001223,3.0,0.2933,26.94,北京海淀区紫竹院路116号嘉豪国际A座505室,39.9534911738346,116.29846260457019,京Q7S2E7
HYFHD20190604001310,39.0,2.80512,233.7,北京市朝阳区西坝河北里甲24号,39.97637539608836,116.44342707575156,京HAE675
HYFHD20190604001327,6.0,0.26208000000000004,39.9,北京市海淀区圆明园西路2号院农产品加工研究所,40.02886571200001,116.29420041621361,京YF7175
HYFHD20190604001361,2.0,0.18122,21.28,北京市朝阳区北辰西路1号院3号,40.00979098658548,116.38804339699212,京EM0606
HYFHD20190604001363,2.0,0.18122,21.28,北京市海淀区西三环北路21号久凌大厦北楼1018,39.959426170085614,116.31526394220143,京Q7S2E7
HYFHD20190604001693,70.0,6.8245000000000005,636.3,北京市通州区玉桥中路北口玉桥佳园小区12号底商(联想店),39.904610458368545,116.68289250775172,京HAE675
HYFHD20190605001113,18.0,0.04788,7.65,海淀北京市海淀区中关村东路甲331号怡升园商务公寓南院1门,39.98564205043494,116.34099796963743,京ER0336
HYFHD20190605001127,30.0,2.0631,249.0,海淀北京市海淀区唐家岭京包路7号院南区4-2号库,40.088582775690206,116.29608514381765,京LBA621
